instructor,q09d,q09dReason1,q09dReason2,q09dReason3
3,a,8x,4,
3,a,6c,,
3,a,2,,
3,c,4,,
3,c,6b,,
3,b,5,,
3,b,5,1,
3,b,5,,
3,a,6b,,
3,b,1,,
3,b,2x,5,
3,a,uncodeable,,
3,uncodeable,5,7,
3,c,7,,
3,b,8x,5,
3,a,4,8x
3,b,5,
3,blank,blank,
3,uncodeable,4,8
3,b,1,
3,uncodeable,1,
3,blank,blank,
3,a,6c,
3,c,7,uncodeable
3,b,5,
3,c,4,
3,uncodeable,8x,
3,b,5,
3,b,6b,
3,b,1,
3,c,5,
3,a,5x,
3,a,2,
3,c,7,
3,a,7,
3,a,6c,
3,b,8x,
3,b,5,
3,b,1,
3,a,2,
3,a,2,5
3,b,5,1
3,a,5,
3,uncodeable,2x,
3,b,1,
3,b,1,
3,b,1,
3,b,5,
3,b,5,
3,b,5,1
3,c,4,
3,uncodeable,6c,
3,b,1,
3,c,uncodeable,
3,b,2x,5
3,b,5,
3,uncodeable,5,
3,b,1,
3,b,uncodeable,
3,b,6b,
3,b,1,
3,b,1,
3,c,8x,
3,b,1,
3,c,2x,
3,b,1,
3,b,1,
3,uncodeable,2,
3,a,6c,
3,a,2,
3,b,1,uncodeable
3,b,1,
3,b,5,
3,uncodeable,7,
3,a,2,
3,b,6b,
3,blank,blank,
3,a,2,3
3,b,1,
3,b,uncodeable,
3,a,6b,
3,c,7,5
3,b,uncodeable,
3,b,5,
3,c,4,
3,b,1,
3,b,5,
3,b,1,
3,b,1,
3,b,2x,
3,b,6b,
3,a,uncodeable,
3,b,5,
3,b,uncodeable,
3,b,1,
3,uncodeable,6a,2x
3,a,2,
3,b,5,
3,b,1,7
3,a,3,
3,b,1,
3,b,1,
3,a,2,
3,b,1,
3,c,4,
3,a,2,8
3,b,1,
3,uncodeable,uncodeable,
3,c,7,
3,b,5,1
3,a,2,3
3,a,6c,uncodeable
3,a,2,
3,a,3,4
3,b,4,
3,c,7,
3,b,uncodeable,
3,b,5,
3,b,5,
3,b,5,
3,a,uncodeable,
3,b,1,
3,b,1,
3,b,1,
3,b,1,
3,c,7,
3,b,5,1
3,a,uncodeable,
3,blank,blank,
3,a,2x,6b
3,b,5,1
3,b,1,
3,a,3,
3,b,1,5
3,uncodeable,7,
3,a,2,
3,b,5,
3,b,2x,
